"Value","Reference","Package","LCSC Part"
"1uF","C1,C2,C7,C8","1206","C1848"
"WS2812B","D1","SMD5050","C2843785"
"MBR120VLSFT1G","D6","SOD-123FL","C223608"
"S2B-PH-SM4-TB(LF)(SN)","J2","SMD,P=2mm,Surface Mountï¼ŒRight Angle","C295747"
"DMG2045U","Q1","SOT-23","C459541"
"100k","R1","1206","C17900"
"300R","R9","1206","C17887"
"3R","R10","1206","C17939"
"KH-6X6X6H-STM","S1","SMD","C2837532"
"MST22D18G2 125","SW1","SMD","C2906280"
"74HC165D,653","U1"," SOIC-16","C5613"
"NCP114ASN330T1G","U2","TSOP-5-1.5mm","C457666"
